"id";"submitdate";"lastpage";"startlanguage";"seed";"token";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12"
"37";"1980-01-01 00:00:00";"2";"en";"726415362";"jPO9863BNCF58Lg";"Agree Slightly";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Disagree Strongly";"Agree Moderately";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"38";"1980-01-01 00:00:00";"2";"en";"1530332924";"QZt6UnPdar2IKO5";"Agree Strongly";"Disagree Strongly";"Disagree Slightly";"Prefer Not To Answer";"Disagree Moderately";"Disagree Strongly";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"39";"1980-01-01 00:00:00";"2";"en";"2050690486";"8ZoCa4SBk632SYl";"Agree Moderately";"Agree Slightly";"Disagree Strongly";"Agree Slightly";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"40";"1980-01-01 00:00:00";"2";"en";"1933758949";"2fUzzHsO81sJ22Q";"Agree Strongly";"Agree Moderately";"Disagree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Prefer Not To Answer";"Yes";"Medium Experience";"Yes";"Male";"PostDoctoral"
"41";"1980-01-01 00:00:00";"2";"en";"1934856210";"R3CJ8akMu3Hn5Bu";"Agree Strongly";"Disagree Strongly";"Disagree Moderately";"Agree Strongly";"Agree Slightly";"Agree Strongly";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"43";"1980-01-01 00:00:00";"2";"en";"806868632";"Ci9FWKEPZEiSLyj";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"44";"1980-01-01 00:00:00";"2";"en";"947847945";"idqoisL11SoVfz5";"Agree Strongly";"Agree Strongly";"Disagree Moderately";"Disagree Moderately";"Disagree Slightly";"Prefer Not To Answer";"Prefer Not To Answer";"No";"High Experience";"Yes";"Male";"Full Professor"
"45";"1980-01-01 00:00:00";"2";"en";"844395551";"7ZE97WfI5NNIWwN";"Agree Moderately";"Agree Slightly";"Disagree Slightly";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Prefer Not To Answer";"Yes";"Medium Experience";"Yes";"Male";"Full Professor"
"49";"1980-01-01 00:00:00";"2";"en";"968462233";"xXnSfxFqkxnfpa1";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Strongly";"Disagree Strongly";"Yes";"Medium Experience";"Yes";"Not Listed";"PostDoctoral"
"51";"1980-01-01 00:00:00";"2";"en";"34359229";"cEoo4PSVaDERmWW";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"53";"1980-01-01 00:00:00";"2";"en";"1244088302";"tbCJgGQXfbMflOG";"Agree Strongly";"Agree Strongly";"Disagree Slightly";"Agree Moderately";"Agree Moderately";"Prefer Not To Answer";"Agree Moderately";"Yes";"Medium Experience";"Yes";"Male";"PhD. Student"
"54";"1980-01-01 00:00:00";"2";"en";"1939399350";"lnH2q8JZea8vDvm";"Agree Strongly";"Prefer Not To Answer";"Agree Strongly";"Agree Strongly";"Disagree Strongly";"Agree Strongly";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"57";"1980-01-01 00:00:00";"2";"en";"1727431018";"HB56BMR0XuUsukQ";"Agree Strongly";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Disagree Strongly";"Prefer Not To Answer";"Agree Moderately";"Yes";"Medium Experience";"Yes";"Male";"Assistant Professor"
"58";"1980-01-01 00:00:00";"2";"en";"1211229820";"52DDe40CAlGkn6a";"Disagree Moderately";"Agree Strongly";"Prefer Not To Answer";"Disagree Strongly";"Disagree Strongly";"Disagree Moderately";"Disagree Strongly";"Yes";"High Experience";"Yes";"Female";"Full Professor"
"59";"1980-01-01 00:00:00";"2";"en";"6361203";"QUY62OGFKQmRaND";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Prefer Not To Answer";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"60";"1980-01-01 00:00:00";"2";"en";"899779756";"IMHrxz0uXE5wW9Z";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Agree Slightly";"No";"High Experience";"No";"Male";"Full Professor"
"61";"1980-01-01 00:00:00";"2";"en";"682121750";"CsNpHhvNSr44ATN";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Prefer Not To Answer";"Agree Strongly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"62";"1980-01-01 00:00:00";"2";"en";"21596607";"2sdH7fqNkRtUzCW";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Prefer Not To Answer";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"64";"1980-01-01 00:00:00";"2";"en";"1812874233";"zygtHcfzUPR5lRV";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Prefer Not To Answer";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Assistant Professor"
"67";"1980-01-01 00:00:00";"2";"en";"272201257";"4dlxPd30CsKUyQg";"Agree Strongly";"Agree Slightly";"Disagree Slightly";"Agree Moderately";"Agree Slightly";"Agree Strongly";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"68";"1980-01-01 00:00:00";"2";"en";"1772123370";"GWGr3vaeL5l2QdC";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Disagree Slightly";"Agree Slightly";"Prefer Not To Answer";"Agree Slightly";"No";"Medium Experience";"No";"Male";"Assistant Professor"
"69";"1980-01-01 00:00:00";"2";"en";"192633404";"kSK8Z8RnHzQKIlD";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Female";"Associate Professor"
"70";"1980-01-01 00:00:00";"2";"en";"794250295";"XCvqfxmeaAxUSFo";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Agree Strongly";"Agree Slightly";"Agree Moderately";"Agree Moderately";"Yes";"Low Experience";"Prefer Not To Answer";"Not Listed";"Research Associate"
"72";"1980-01-01 00:00:00";"2";"en";"2027821846";"nIOS6GHswzJNOen";"Agree Moderately";"Prefer Not To Answer";"Prefer Not To Answer";"Agree Slightly";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Yes";"Low Experience";"Yes";"Male";"Lecturer"
"74";"1980-01-01 00:00:00";"2";"en";"1206544422";"4yMffc5567rjRhf";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Agree Slightly";"Prefer Not To Answer";"Agree Slightly";"Prefer Not To Answer";"Medium Experience";"Prefer Not To Answer";"Male";"Associate Professor"
"75";"1980-01-01 00:00:00";"2";"en";"1891058120";"lvPG7zs8wjTFhVv";"Agree Strongly";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Disagree Moderately";"Agree Slightly";"Prefer Not To Answer";"Yes";"Low Experience";"Yes";"Male";"Lecturer"
"77";"1980-01-01 00:00:00";"2";"en";"1640641446";"R9kOosPNlQxd6ZT";"Agree Moderately";"Prefer Not To Answer";"Disagree Slightly";"Disagree Moderately";"Disagree Slightly";"Prefer Not To Answer";"Disagree Slightly";"No";"Medium Experience";"Yes";"Female";"Lecturer"
"78";"1980-01-01 00:00:00";"2";"en";"1302141884";"XkeZzpgFu4izanI";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Disagree Strongly";"Disagree Strongly";"Yes";"Medium Experience";"Yes";"Prefer Not To Answer";"Lecturer"
"79";"1980-01-01 00:00:00";"2";"en";"1002489818";"Yg6V0BSCoruyvV4";"Agree Strongly";"Agree Strongly";"Agree Slightly";"Agree Moderately";"Agree Strongly";"Disagree Moderately";"Disagree Slightly";"Yes";"Medium Experience";"Yes";"Female";"Assistant Professor"
"80";"1980-01-01 00:00:00";"2";"en";"351824806";"GpVSomStoWzG2TD";"Agree Strongly";"Agree Moderately";"Disagree Moderately";"Prefer Not To Answer";"Disagree Strongly";"Disagree Moderately";"Disagree Slightly";"No";"High Experience";"No";"Male";"Full Professor"
"81";"1980-01-01 00:00:00";"2";"en";"293478949";"glCIap1ZVqZygcx";"Agree Moderately";"Agree Slightly";"Disagree Strongly";"Disagree Strongly";"Disagree Strongly";"Agree Slightly";"Agree Moderately";"Yes";"Medium Experience";"Yes";"Female";"Associate Professor"
"82";"1980-01-01 00:00:00";"2";"en";"929716080";"l7IKFUs16bE8ntv";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Disagree Slightly";"Prefer Not To Answer";"Disagree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"83";"1980-01-01 00:00:00";"2";"en";"488148243";"OmecQVA6cM4ePNm";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Prefer Not To Answer";"Disagree Slightly";"No";"High Experience";"No";"Female";"Full Professor"
"85";"1980-01-01 00:00:00";"2";"en";"2110454031";"zocozvIGeVStwX6";"Agree Strongly";"Prefer Not To Answer";"Disagree Strongly";"Agree Strongly";"Disagree Slightly";"Prefer Not To Answer";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Prefer Not To Answer";"Full Professor"
"86";"1980-01-01 00:00:00";"2";"en";"776980644";"dGYxvKlztGsdTmR";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Disagree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Instructor"
"87";"1980-01-01 00:00:00";"2";"en";"1190863568";"S7zTF7nZbMawaQ9";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Disagree Slightly";"Prefer Not To Answer";"Disagree Slightly";"Yes";"Low Experience";"Yes";"Female";"Associate Professor"
"88";"1980-01-01 00:00:00";"2";"en";"478622598";"EJURWVaQzIeU8Ka";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Prefer Not To Answer";"Agree Strongly";"Agree Slightly";"Disagree Moderately";"No";"Low Experience";"Yes";"Male";"Instructor"
"91";"1980-01-01 00:00:00";"2";"en";"1775012540";"TKQa7ni99mCY0yX";"Agree Moderately";"Disagree Moderately";"Agree Moderately";"Agree Moderately";"Disagree Moderately";"Disagree Strongly";"Disagree Moderately";"No";"Medium Experience";"No";"Female";"Associate Professor"
"93";"1980-01-01 00:00:00";"2";"en";"1562420337";"rUzuknA24pCB5K7";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Agree Moderately";"Disagree Moderately";"Agree Slightly";"Agree Strongly";"Yes";"Medium Experience";"Yes";"Female";"Associate Professor"
"94";"1980-01-01 00:00:00";"2";"en";"1746015182";"oPMFbqDKQuy3mCg";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Yes";"Low Experience";"No";"Male";"PhD. Student"
"95";"1980-01-01 00:00:00";"2";"en";"1831784579";"w4WQaHMy6zc3q35";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Prefer Not To Answer";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"97";"1980-01-01 00:00:00";"2";"en";"1718706478";"3aC1gOGFja8UDW9";"Agree Strongly";"Agree Strongly";"Agree Slightly";"Agree Moderately";"Disagree Moderately";"Disagree Moderately";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"PhD. Student"
"98";"1980-01-01 00:00:00";"2";"en";"269854738";"cnJm5lJJ1Mo4Fji";"Agree Moderately";"Prefer Not To Answer";"Agree Slightly";"Agree Slightly";"Agree Moderately";"Prefer Not To Answer";"Agree Moderately";"Yes";"Medium Experience";"Yes";"Female";"Full Professor"
"99";"1980-01-01 00:00:00";"2";"en";"2103578178";"IGvlbqtsB2tFXyC";"Agree Strongly";"Prefer Not To Answer";"Disagree Slightly";"Disagree Moderately";"Disagree Moderately";"Prefer Not To Answer";"Agree Slightly";"No";"Medium Experience";"Yes";"Female";"Full Professor"
"101";"1980-01-01 00:00:00";"2";"en";"93204368";"6YcSkhL0f9vFY9V";"Agree Strongly";"Disagree Moderately";"Agree Slightly";"Agree Slightly";"Agree Moderately";"Prefer Not To Answer";"Disagree Slightly";"Yes";"High Experience";"Yes";"Male";"Research Associate"
"102";"1980-01-01 00:00:00";"2";"en";"896980473";"Z1BTYwQ0o2UHSpN";"Agree Slightly";"Disagree Strongly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Disagree Strongly";"Agree Slightly";"No";"High Experience";"No";"Male";"Associate Professor"
"103";"1980-01-01 00:00:00";"2";"en";"2001154865";"vytwJWDqVmg1bQE";"Agree Moderately";"Agree Moderately";"Disagree Slightly";"Agree Strongly";"Agree Slightly";"Disagree Slightly";"Agree Strongly";"Yes";"Medium Experience";"Yes";"Female";"Lecturer"
"104";"1980-01-01 00:00:00";"2";"en";"1284031525";"J99z0YRUOaXw7GE";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Prefer Not To Answer";"Agree Slightly";"Prefer Not To Answer";"Prefer Not To Answer";"No";"High Experience";"No";"Male";"Prefer Not To Answer"
"105";"1980-01-01 00:00:00";"2";"en";"442481262";"QvgEWa1mNXdXOR8";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Disagree Slightly";"Disagree Moderately";"Agree Moderately";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Female";"Full Professor"
"106";"1980-01-01 00:00:00";"2";"en";"171419440";"A2ZZ1banimvIZzx";"Agree Moderately";"Agree Slightly";"Disagree Slightly";"Disagree Slightly";"Disagree Moderately";"Prefer Not To Answer";"Disagree Strongly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"107";"1980-01-01 00:00:00";"2";"en";"1079456606";"I7laWbjv1nla4Lf";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Disagree Slightly";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"110";"1980-01-01 00:00:00";"2";"en";"2024535463";"snUkNEAjRXLHqVe";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Agree Moderately";"Agree Slightly";"Disagree Moderately";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"115";"1980-01-01 00:00:00";"2";"en";"1877492398";"qVFLLc047zFYWW2";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Disagree Moderately";"Agree Moderately";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Lecturer"
"116";"1980-01-01 00:00:00";"2";"en";"554668314";"bzga7zoMpDS6dnh";"Agree Strongly";"Agree Moderately";"Prefer Not To Answer";"Prefer Not To Answer";"Prefer Not To Answer";"Prefer Not To Answer";"Prefer Not To Answer";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"118";"1980-01-01 00:00:00";"2";"en";"978148220";"9I9lTUPMu4HdKb3";"Agree Moderately";"Agree Slightly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Prefer Not To Answer";"Agree Moderately";"No";"Medium Experience";"Yes";"Male";"PostDoctoral"
"119";"1980-01-01 00:00:00";"2";"en";"1872584082";"Sf4SrFea2tgcaa8";"Agree Moderately";"Disagree Slightly";"Agree Moderately";"Agree Slightly";"Disagree Moderately";"Prefer Not To Answer";"Disagree Moderately";"Yes";"Medium Experience";"Yes";"Male";"PostDoctoral"
"120";"1980-01-01 00:00:00";"2";"en";"1059763654";"hAipkMjvUIuRI9y";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Agree Slightly";"Prefer Not To Answer";"Disagree Slightly";"No";"High Experience";"Yes";"Male";"Full Professor"
"121";"1980-01-01 00:00:00";"2";"en";"626753297";"za5Fo7WuAZTKKay";"Agree Slightly";"Agree Slightly";"Disagree Slightly";"Prefer Not To Answer";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"122";"1980-01-01 00:00:00";"2";"en";"1642194043";"ydyb6j0dzcByavu";"Agree Strongly";"Agree Slightly";"Disagree Slightly";"Agree Strongly";"Agree Slightly";"Agree Strongly";"Agree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"123";"1980-01-01 00:00:00";"2";"en";"340411109";"sYxtah1Uki8gfDt";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Disagree Slightly";"Disagree Slightly";"Disagree Moderately";"Disagree Strongly";"Yes";"Medium Experience";"Yes";"Male";"Associate Professor"
"124";"1980-01-01 00:00:00";"2";"en";"483688521";"oxWb2ACwna4QSOj";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Slightly";"Disagree Moderately";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Full Professor"
"126";"1980-01-01 00:00:00";"2";"en";"331121623";"dHU9hvecOIGuOdL";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Female";"Assistant Professor"
"128";"1980-01-01 00:00:00";"2";"en";"1677006084";"qqWdCn8nnJLWyhC";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"129";"1980-01-01 00:00:00";"2";"en";"664657252";"RvBIvIP5f8cYeof";"Agree Moderately";"Disagree Slightly";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Full Professor"
"130";"1980-01-01 00:00:00";"2";"en";"1115636419";"GvVTpyHsRC0XEAj";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Strongly";"Disagree Slightly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Assistant Professor"
"131";"1980-01-01 00:00:00";"2";"en";"1522050695";"gyTzu1HUqoYGGL4";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Prefer Not To Answer";"Agree Moderately";"No";"Medium Experience";"No";"Male";"Associate Professor"
"132";"1980-01-01 00:00:00";"2";"en";"173477459";"Kw2y6ri2rRsyXyj";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"No";"Medium Experience";"No";"Male";"PhD. Student"
"133";"1980-01-01 00:00:00";"2";"en";"840933668";"xH3qJQhTTOVKxHB";"Agree Slightly";"Disagree Moderately";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Male";"Research Associate"
"134";"1980-01-01 00:00:00";"2";"en";"1375168884";"cR0nONk5UvEex3K";"Agree Strongly";"Agree Slightly";"Disagree Slightly";"Agree Moderately";"Disagree Moderately";"Disagree Strongly";"Disagree Moderately";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"135";"1980-01-01 00:00:00";"2";"en";"1965228252";"XT6aFnVZa2Q9s76";"Agree Strongly";"Agree Moderately";"Disagree Slightly";"Disagree Slightly";"Agree Moderately";"Agree Strongly";"Agree Moderately";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"136";"1980-01-01 00:00:00";"2";"en";"836516822";"GNUEMAyida3DThI";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Slightly";"Agree Strongly";"Disagree Slightly";"Yes";"High Experience";"Yes";"Male";"Associate Professor"
"137";"1980-01-01 00:00:00";"2";"en";"1683502975";"AHN5ofGXcsV7dqr";"Agree Moderately";"Agree Moderately";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Yes";"Medium Experience";"Yes";"Male";"Assistant Professor"
"138";"1980-01-01 00:00:00";"2";"en";"558759679";"L7iBhqkrYkDbHVv";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Disagree Moderately";"Agree Slightly";"Agree Slightly";"Yes";"High Experience";"Yes";"Female";"Assistant Professor"
"139";"1980-01-01 00:00:00";"2";"en";"1093246646";"4EGhNPaYvWZzwHM";"Agree Moderately";"Agree Slightly";"Disagree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Agree Slightly";"Yes";"Medium Experience";"Yes";"Female";"Assistant Professor"
"140";"1980-01-01 00:00:00";"2";"en";"658563520";"wXZoc3IdP2EeY5Y";"Agree Moderately";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Strongly";"Disagree Strongly";"Disagree Moderately";"No";"Low Experience";"Yes";"Not Listed";"Prefer Not To Answer"
"141";"1980-01-01 00:00:00";"2";"en";"1645999513";"dTuXBzTWrPhlbCv";"Agree Strongly";"Agree Slightly";"Agree Slightly";"Agree Moderately";"Agree Moderately";"Prefer Not To Answer";"Disagree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"142";"1980-01-01 00:00:00";"2";"en";"820234771";"bukBs0QhgtXaH6Q";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Agree Strongly";"Disagree Slightly";"Agree Moderately";"Agree Moderately";"No";"Medium Experience";"No";"Female";"PostDoctoral"
"143";"1980-01-01 00:00:00";"2";"en";"1050774743";"8giyquwPt2RKmm7";"Agree Moderately";"Agree Strongly";"Disagree Slightly";"Agree Slightly";"Disagree Moderately";"Disagree Strongly";"Disagree Slightly";"Yes";"High Experience";"Yes";"Male";"Full Professor"
"144";"1980-01-01 00:00:00";"2";"en";"1725993420";"7gDaoUoxEZxipVN";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Slightly";"Yes";"High Experience";"Yes";"Female";"Associate Professor"
"145";"1980-01-01 00:00:00";"2";"en";"568353192";"SiLWTaWZ4z7lkpX";"Agree Strongly";"Agree Strongly";"Agree Moderately";"Agree Moderately";"Agree Slightly";"Agree Moderately";"Disagree Moderately";"Yes";"High Experience";"Yes";"Female";"Full Professor"
